pid nice virt res shr status cpu mem
61300 20 0 411908 192516 2956 R 41.5
61300 20 0 480548 261156 2956 R 88.9
61300 20 0 533348 313956 2956 R 99.9
61300 20 0 582980 363588 2956 R 93.8
61300 20 0 634856 415596 2956 R 99.9
61300 20 0 686204 466812 2956 R 93.8
61300 20 0 736496 516972 2956 R 93.8
61300 20 0 787052 567660 2956 R 99.9
61300 20 0 836420 617028 2956 R 99.9
61300 20 0 887372 667980 2956 R 99.9
61300 20 0 940436 721044 2956 R 89.5
61300 20 0 990728 771468 2956 R 99.9
61300 20 0 1042472 823212 2956 R 99.9
61300 20 0 1092368 872844 2956 R 82.4
61300 20 0 1143980 924588 2956 R 89.5
61300 20 0 1192820 973428 2956 R 99.9
61300 20 0 1241528 998.3m 2956 R 99.9
61300 20 0 1289576 1.0g 2956 R 99.9
61300 20 0 1342772 1.1g 2956 R 94.7
61300 20 0 1393856 1.1g 2956 R 88.9
61300 20 0 1446128 1.2g 2956 R 99.9
61300 20 0 1497080 1.2g 2956 R 93.8
61300 20 0 1548824 1.3g 2956 R 99.9
61300 20 0 1601888 1.3g 2956 R 84.2
61300 20 0 1653896 1.4g 2956 R 89.5
61300 20 0 1704056 1.4g 2956 R 99.9
61300 20 0 1756592 1.5g 2956 R 83.3
61300 20 0 1801868 1.5g 2956 R 99.9
61300 20 0 1852820 1.6g 2956 R 99.9
61300 20 0 2014124 1.6g 1688 R 34.2
61300 20 0 2105204 1.6g 1684 R 89.5
61300 20 0 2171072 1.6g 1684 R 68.4
61300 20 0 2239580 1.6g 1684 R 45.5
61300 20 0 2296736 1.6g 1684 R 44.4
61300 20 0 2352836 1.6g 1684 R 61.1
61300 20 0 2407220 1.6g 1684 R 82.4
61300 20 0 2457644 1.6g 1684 R 86.7
61300 20 0 2515724 1.6g 1684 R 86.7
61300 20 0 2569580 1.6g 1684 R 60.0
