mem_total mem_free mem_used mem_buff swap_total swap_free swap_used swap_avail
1827.1 1489.8 230.4 106.8 820.0 731.2 88.8 1469.3
1827.1 1376.6 343.3 107.2 820.0 731.2 88.8 1356.3
1827.1 1264.1 455.7 107.2 820.0 731.2 88.8 1243.9
1827.1 1155.1 564.8 107.2 820.0 731.2 88.8 1134.8
1827.1 1045.0 674.8 107.2 820.0 731.2 88.8 1024.8
1827.1 947.9 772.0 107.2 820.0 731.2 88.8 927.7
1827.1 845.9 873.9 107.2 820.0 731.2 88.8 825.7
1827.1 735.7 984.2 107.2 820.0 731.3 88.7 715.4
1827.1 629.6 1090.2 107.2 820.0 731.3 88.7 609.4
1827.1 521.0 1198.9 107.2 820.0 731.3 88.7 500.8
1827.1 413.5 1306.4 107.2 820.0 731.3 88.7 393.2
1827.1 302.5 1417.3 107.2 820.0 731.3 88.7 282.3
1827.1 194.7 1525.2 107.2 820.0 731.3 88.7 174.4
1827.1 81.2 1638.7 107.2 820.0 731.3 88.7 61.0
1827.1 72.6 1712.1 42.3 820.0 526.3 293.7 20.8
1827.1 55.0 1718.2 53.8 820.0 391.7 428.3 8.9
1827.1 62.7 1715.4 49.0 820.0 263.2 556.8 14.2
1827.1 71.8 1706.3 49.0 820.0 94.6 725.4 23.3
1827.1 803.5 970.7 52.9 820.0 364.9 455.1 756.6
1827.1 713.9 1052.1 61.1 820.0 365.1 454.9 671.0
1827.1 651.2 1114.8 61.1 820.0 365.1 454.9 608.3
1827.1 587.0 1178.9 61.1 820.0 365.1 454.9 544.1
1827.1 525.9 1240.0 61.1 820.0 365.1 454.9 483.0
1827.1 469.1 1296.8 61.1 820.0 365.1 454.9 426.2
1827.1 404.0 1361.8 61.3 820.0 365.1 454.9 361.2
1827.1 341.5 1424.2 61.3 820.0 365.1 454.9 298.7
1827.1 276.2 1489.5 61.3 820.0 365.1 454.9 233.5
1827.1 210.1 1555.6 61.3 820.0 365.1 454.9 167.4
1827.1 147.9 1617.8 61.3 820.0 365.1 454.9 105.1
1827.1 82.4 1683.3 61.3 820.0 365.1 454.9 39.6
1827.1 67.4 1718.0 41.6 820.0 280.3 539.7 14.8
1827.1 72.9 1706.3 47.9 820.0 144.8 675.2 23.5
1827.1 64.7 1711.2 51.1 820.0 67.8 752.2 17.0
1827.1 64.4 1715.7 47.0 820.0 0.0 820.0 14.6
