pid nice virt res shr status cpu mem
54235 20 0 288092 68640 2900 R 17.1
54235 20 0 346172 126720 2900 R 43.8
54235 20 0 403460 184008 2900 R 50.0
54235 20 0 459428 239976 2900 R 50.0
54235 20 0 515396 295944 2900 R 50.0
54235 20 0 565292 345840 2900 R 43.8
54235 20 0 618224 398640 2900 R 53.3
54235 20 0 673928 454344 2900 R 38.9
54235 20 0 728576 509256 2900 R 50.0
54235 20 0 784412 564960 2900 R 38.9
54235 20 0 839324 619872 2900 R 50.0
54235 20 0 895688 676368 2900 R 43.8
54235 20 0 951260 731808 2900 R 50.0
54235 20 0 1008944 789360 2900 R 40.0
54235 20 0 1146092 821928 1628 R 10.2
54235 20 0 1216712 824104 1628 R 23.8
54235 20 0 1278488 820724 1628 R 33.3
54235 20 0 1356236 810972 1628 R 23.1
54235 20 0 1478072 884328 1732 R 55.6
54235 20 0 1561232 967488 1732 R 85.0
54235 20 0 1625252 1.0g 1732 R 99.9
54235 20 0 1690856 1.0g 1732 R 89.5
54235 20 0 1753292 1.1g 1732 R 99.9
54235 20 0 1811372 1.2g 1732 R 99.9
54235 20 0 1877768 1.2g 1732 R 94.1
54235 20 0 1941524 1.3g 1732 R 99.9
54235 20 0 2008184 1.3g 1732 R 93.8
54235 20 0 2075768 1.4g 1732 R 99.9
54235 20 0 2139392 1.5g 1732 R 83.3
54235 20 0 2206316 1.5g 1732 R 94.1
54235 20 0 2328680 1.6g 1684 R 41.0
54235 20 0 2452892 1.6g 1676 R 52.0
54235 20 0 2535656 1.6g 1676 R 66.7
54235 20 0 2607068 1.6g 1676 R 87.0
